Time_ns,Peptide_1,Peptide_2,Peptide_3,Peptide_4,Peptide_5,Peptide_6,Peptide_7,Peptide_8,Peptide_9,Peptide_10,Peptide_11,Peptide_12
1924.4,4.327792652058152,6.289577487009877,3.3471729264169365,3.460080658534787,4.751672288426812,3.91499272184552,2.2971357180037604,6.11466422027012,4.008456121480693,3.4127741918024004,3.3191457208597424,3.7636890051499865
1924.6,4.206282204681973,6.306917500046062,3.283606538592643,3.3925175792766034,4.602305839106723,3.890615303471403,2.371104759360257,6.116234936984078,4.02746140390072,3.4395632819409627,3.2720138722545684,3.680528138358639
1924.8,4.154893723973688,6.091909732458726,3.132848648934994,3.1327762301463,4.334240273529629,3.7836170815521815,2.140138687997494,5.879571654121831,3.81833997042674,3.1848004841354633,3.0542821286759274,3.391711696408832
1925.0,4.257546680378464,6.553648946510172,3.490254435989094,3.4952279490344935,4.438643775795992,3.714321732431088,2.536894755813311,6.2777425226175545,4.247765992362545,3.2553407143646815,3.154050506015995,3.541790402970225
1925.2,4.037337571629941,6.562105528633548,3.5971660916310455,3.588451405651167,4.12504994518352,3.7160449333910677,2.5531356926684126,6.295020780743293,4.2831902730689855,3.059809541522334,2.8315160844910814,3.2702813087319456
1925.4,4.033825251741231,6.748826685491601,3.6903463975438555,3.637241654306088,4.21322254108933,3.4612992542194867,2.5271704274303524,6.363607171976341,4.2247023326945765,3.0750161282521375,2.8442082703788323,3.235832508015182
1925.6,4.0273688665426,6.667952466280953,3.68513191079194,3.6504065920271973,4.276031056530071,3.420149346117702,2.483734217229882,6.369691386672686,4.218749499051077,3.1570997072615707,2.862486203751475,3.2512700955372953
1925.8,4.0711572265625,6.754482847969486,3.5438977972066628,3.542570484089401,4.1845382287367325,3.708268167747642,2.573465017642617,6.262316635419735,4.194887038896669,3.2711545145286696,2.8802813375221117,3.3731672927568557
1926.0,4.126185659732458,6.701109296690744,3.510671334896445,3.478164258273141,3.8585274923072657,3.6153264517154344,2.411773197965802,6.210310847444353,4.085095468197229,3.3217368878058675,2.6544953774506173,3.269842465958506
1926.2,3.776003515855324,6.648135899957621,3.486760898806013,3.4302655144457557,3.589797466925857,3.4283085488373377,2.5925493117998233,6.157118063872717,4.049708390145932,3.1036672685731137,2.3819793470850517,3.043093088977743
1926.4,3.7857769545069306,6.615806948103996,3.3658061189471535,3.296229956285009,3.5181493795143,3.2767520487083583,2.359475097656249,6.14152257379496,3.8847848395581526,3.0761796713775045,2.355084176693323,3.0978164269789215
1926.6,4.004948822597289,6.691880113133845,3.5265934494306457,3.4816627588811926,3.7103869168263586,3.3333721923828143,2.4389764749778884,6.259352175154778,4.047762911814566,3.0392518241450475,2.4979465815706092,2.9562066247328254
1926.8,3.981801009268132,6.700160994619694,3.495099210919072,3.388827537680573,3.7682671773658605,3.457276645876327,2.4941197348540705,6.215942238861661,4.025319277205558,3.158042700425632,2.5592475689582095,3.0715362030605107
1927.0,4.143446528596698,6.960716328171063,3.67358759466207,3.565602555184995,3.6939931444851837,3.653109453309259,2.7108115948371143,6.420282575499336,4.258198887087264,3.1296970353036535,2.6441631446694416,2.9962755599111865
1927.2,4.042695013082252,6.74939742178287,3.5493374345887396,3.4571666156121026,3.7094586930184974,3.250534097923424,2.6700378475549087,6.330292041706588,4.208757416347289,3.104635188264666,2.643837510594782,3.1006733502082113
1927.4,4.228488936514227,6.862884314195165,3.606413603008919,3.5119708539854795,3.8483331989792173,3.276784512501843,2.7462698709739843,6.344960966290168,4.272971295050853,3.185612441728699,2.8411083178250305,3.2458342930056023
1927.6,4.293795189047758,7.131038432571122,3.7281397463240733,3.696091809542674,4.056808483195754,3.513975133356057,2.875344399506192,6.566597837052258,4.288016996563604,3.0703212406950176,2.877764282226563,3.1597012674583578
1927.8,4.325282483370799,7.094136012815081,3.807611222177183,3.786694134406325,4.007314142191188,3.4287741319188534,2.8439277620135606,6.636241604786999,4.2786225113778755,3.119273854381632,2.845342948481722,3.1438473798643862
1928.0,4.470996001621462,6.758959621213517,3.5791556189195184,3.6188185493901095,4.102558207961749,3.4037827401791,2.772569712512901,6.499189395544665,4.1852846253593015,3.232776805949662,2.9530535370448874,3.0833204794829747
1928.2,4.577213756633258,6.8597739338424955,3.527280014325987,3.629731842616822,4.102825789541571,3.6764372109467143,2.895466176158978,6.602909050707547,4.2260491194815035,3.202377831800929,3.0483287595353037,3.054617850825471
1928.4,4.863413840239904,6.836325476304541,3.5088575888579747,3.6119412864828995,4.135083197827608,3.8025447744693395,2.8217081264279926,6.6473947834518725,4.2632670506891195,3.424907750543561,3.1947621701798354,3.374070762778228
1928.6,4.579898595270119,6.80307571123231,3.5057855915573413,3.6390315563273887,4.045499365464696,3.8686200296653865,2.829706000561984,6.60543951646337,4.331482520913177,3.455050993145637,3.0697433356519,3.383229991984816
1928.8,4.374617205925709,6.448670999778891,3.284660972739168,3.4057210670327223,3.9173408940153323,3.6786850839291,2.6013217047925252,6.410002124714403,3.9478215689029312,3.390973194050339,2.94368065024322,3.351981316332548
1929.0,4.327912085191256,6.509005748820753,3.405644680958874,3.479762066535228,4.029652698444869,3.814082048524101,2.8210325651348764,6.441949174988947,4.173480132480835,3.643172181327385,3.0572692352870714,3.5613674350954465
1929.2,4.374011046211674,6.419852911031473,3.4764921944096407,3.51912744486107,3.8707401030918334,3.7458820846845526,2.7330029872678345,6.377278206303437,4.128850379799896,3.620391615381781,2.9058666358803826,3.546395315494177
1929.4,4.664169973697305,6.554495135613209,3.5860419392135903,3.635074353487987,3.93651260088075,3.7044668751842593,2.678184860517394,6.590780726018945,4.13517217672096,3.7308321049528317,2.945207692272259,3.574006117334907
1929.6,4.553705369481502,6.557492635475015,3.6814163553489827,3.5817378609135453,4.060820243403597,3.5997371630398725,2.7512941526017123,6.529457858103626,4.080935179512458,3.6816998578917293,2.932011776330338,3.5203220525777574
1929.8,4.515529572109006,6.297072984227594,3.638799524847066,3.5009630023308524,4.162438452378758,3.806971602529849,2.6562720935749553,6.550330062002509,4.0181841234890925,3.798749781194722,3.0791886182101287,3.7403283518665233
1930.0,4.370667678545107,6.339963977741746,3.612180377312427,3.541499374677553,4.102172914900873,3.8168113506964936,2.556380874345887,6.528258603653821,4.029305275971037,3.67960412367335,3.0260177727465383,3.6596286528965223
1930.2,4.4704274361088565,6.432936015578935,3.552090500165832,3.5092144026846235,4.048140489110406,4.038235064812426,2.538557762289944,6.565238797169812,4.158424129845958,3.6691644862912725,2.8355731776975226,3.5531701832897262
1930.4,4.2581803865252805,6.6120456162938535,3.7083697624926284,3.694532816185143,4.045506015993512,3.8935532134433952,2.6471800030402424,6.670956213609228,4.167392670253536,3.492765065319132,2.6767949172685714,3.450556416061689
1930.6,4.251196369674972,6.607745401634361,3.7006642525151072,3.7060975906084153,4.240736331579818,3.8088069527104196,2.7250636723356436,6.540916511967499,4.126420184441333,3.5768206038565005,2.872004129661704,3.667886346781028
1930.8,4.42952235959611,6.625768363520788,3.7192427897903144,3.688600112627139,4.182297455409788,3.753209562481576,2.7154526217478647,6.390720145747348,4.219218243293042,3.7124873438421275,2.9212095786040706,3.7387175304484828
1931.0,4.630405146760758,6.7473832213203835,3.885367898041345,3.9529361077074725,4.104461433842495,3.555847444354363,2.8715653099204026,6.593185908479509,4.3108696185417905,3.600015028467716,2.8458831729529024,3.514965158138633
