cuedc2_mid,cuedc2_rif,cuedc2_dig,cuedc2_par,cuedc2_erg
42.865021290328414,37.56095173779843,38.61538128670617,39.65969569326565,41.995238001076935
42.39650471999306,37.24428613517778,38.67048775741726,39.602163446472744,42.17663356380855
42.02182631739533,37.05579688783377,38.36071081898297,39.40224539065779,41.938038634903
41.819490916834226,36.9572877313086,38.18482472141305,39.707305186093606,41.83826304046068
42.2345890009468,36.764166258117605,38.177084239569915,39.94562361981786,41.71145036616627
42.25936144910058,36.8468567549055,38.123596625244836,39.506165077101116,41.4293992527097
41.942155701564445,36.86417882841671,37.68959147827071,39.503011985297384,41.3645132663083
41.934187183436975,36.9216885368913,37.56511296555993,39.66467776381628,41.46430422784824
42.26082421762679,36.73785078821809,37.92004249901465,39.7239994606947,41.2834510039087
42.28255035893596,36.81665221454967,37.76990693864223,40.101941281445136,40.97651922182206
42.024440055436145,36.7157435244542,37.42786323072333,39.62385848438025,41.045522147114966
42.031142698415415,37.18980066731636,37.45803387217786,40.01649995047511,41.026033026284146
42.09942299163996,37.25540367359144,37.30824248387352,39.76154197817263,41.36076569206374
42.48634285377855,37.16114115474534,37.39353975849872,39.62061251608601,41.55969694050848
42.85917236180347,36.83086316443657,37.55452763105027,39.39809004380752,41.414155816613615
43.11560554194312,36.669524734141476,37.89003011573666,39.62656362844879,41.547792127966005
43.14446031780879,36.50295984071738,37.7808576748502,39.757224676319666,41.779687318575654
42.752147367909856,35.90931572116001,37.62486924414416,39.56367410247191,41.479353983966504
42.58793768800467,35.99639658780934,37.36332923298782,40.022665670373904,41.16340552895443
42.7424851876609,36.01036928325446,37.14788958608647,40.22659808045959,40.90338199971806
43.04311950177839,35.891094145156956,36.97993235487117,40.485017531883756,41.096810592386326
43.229739394285176,35.88711117392315,36.85121954480363,40.59441976230467,41.10117094101751
43.40048783880709,35.88480397645496,36.975802934887284,40.65605258003776,41.00682781015959
43.497675515693494,35.801563592368105,36.87268855079311,40.94470270117482,40.841840938476835
43.265313147506085,35.976136421477875,36.67406743843762,40.961615148670404,41.095099054417766
43.29182239363769,36.24951808504696,36.54894300290195,41.09521525540892,40.672355401206
43.2191260081646,36.11278915905811,36.355110813676646,40.91431539320991,40.54141502196036
43.28522627970227,36.28472901925863,36.09905533397151,40.98355633128595,40.606628747345056
43.36483051764269,36.16171589239609,35.942829469074304,40.343113438919914,40.507370730858995
43.42728641530657,36.26417172488317,36.30717345147207,40.40659307455476,40.429462890139
42.566397411693345,36.17258902782581,36.69500468020907,40.53856754792759,40.312570276766095
42.06910830073083,36.266026419545675,37.114663343248694,41.10305857948951,39.889266693413234
42.15759616761181,36.15098256953697,37.25071973647694,41.49478674126309,39.66883572956307
42.30427038871539,35.772361674919125,37.39736846104276,41.70889502812882,40.03321748366687
42.727529758837875,35.954317406475255,37.68134191889211,41.74512885506038,40.25447727041722
43.03927528544247,35.96724260147529,37.705345433777445,42.182020180669674,40.19754417900587
42.800450646442755,36.19382870811991,37.74414069049773,41.79961184662003,40.38399623207471
43.2802837053156,36.13323464515441,37.71427723562475,41.859954569270094,40.49359300538851
43.019811236233075,36.098530750144,37.868581510067045,42.15221827452414,40.7463968282392
42.68832801013257,35.91721275717516,38.15685144772326,41.982718623769586,40.5794883217264
43.1151807801188,35.806982508271936,38.5697069867453,42.426986412577406,40.31259722213259
42.675392639173815,35.45542131778767,38.6960778551089,42.38119256738675,40.14251654012289
42.631936610812545,35.46605120162271,39.00587856943293,42.160751436764926,39.92370428582443
42.52259120329134,35.050029954433505,38.982685536882144,42.02586375986676,39.738370679243005
42.680045442417374,35.13286487592104,39.03131267017675,41.9995526743233,40.01411587409246
42.562172074230155,35.30366445027128,39.02191416942491,41.87588999016508,39.93008697355104
