cuedc2_rif,cuedc2_par,cuedc2_dig,cuedc2_mid,cuedc2_erg
12.168612576831427,11.613516560894775,13.834772034032433,10.322921757497197,12.467853565401823
12.505600669660796,11.755828092238405,13.90151501311962,10.333838194564976,12.382373437574138
12.846781910465259,11.913444049841422,14.07639744995977,10.258077224488146,12.52539562437824
13.256967964130661,12.018983845609942,14.300837531652073,9.920291367672965,12.559037262069705
13.390254234810016,12.464596329136784,14.603020915599409,9.793275549664083,12.485801385474485
13.68372810158639,12.502314572761533,14.724936216465599,9.415946145274624,12.943790652053435
13.73545825336779,12.351640468764222,14.310145943301405,9.532715316989373,12.857397578685811
13.790164011276234,12.30346706045505,14.25206706928098,9.44755289026736,13.130851681958148
14.145510638380129,12.239895497181468,14.162210908321052,9.663012938965005,13.087839219123822
13.676568407565965,12.148420333302582,14.158208994394785,9.695715082230057,13.006229193684003
14.025444759234784,12.136723506679123,13.903343962522623,10.070555888441518,13.330329602824023
13.765491486088592,12.10072161237583,13.851274992349529,9.858083100343379,13.857854330356925
13.833183592049394,12.032732336376462,13.986134366256971,9.675312819495755,14.009934138207797
13.744719042853818,12.162336035980209,13.812527849978707,9.804022413255195,14.181360240406757
13.974715375909238,12.174696287742835,13.822875992945676,9.677213600034847,13.967563573506988
14.094575809523533,12.599295685101973,13.69947892742313,9.68562721672362,14.151792283966943
14.003088237608921,12.984797965601851,13.845444647709314,9.64841955990895,14.18501396152258
13.761521025783482,13.203153427046681,13.934696892220714,9.823977341811363,14.096815299010704
13.672944537492278,13.87953383747573,13.859768757751121,9.773860783322311,14.237150701712027
13.485075694343909,13.940117499767492,13.87113766172963,9.777927937479998,14.373175670367486
13.903348794012484,14.273517507083048,13.529724100722733,9.968718010998568,13.912951127207146
14.063397506031121,14.309997553658928,13.533994008234043,10.13990429323017,13.544471565363832
14.567167952184006,14.152663938613275,13.291728242882952,10.576431306714,13.332265259638001
14.395758941485177,14.227864763361449,13.444668278334237,10.876116415683917,13.36781736309269
14.627339293754218,14.33270940391332,13.40354221953978,10.9623323593185,13.387866770798272
14.360670744804173,14.867924178413524,13.647224007317131,10.795188983549847,13.34164596505058
13.926112046134643,15.278924952996599,13.801125218970595,10.738693524375337,13.368334527940764
13.778013224606884,15.30411518576967,13.915631818649109,11.0072730573563,13.221409538777577
13.861650371733397,15.270528064266921,13.925027556761801,10.702742278929264,13.092549489504531
14.054632617729702,15.367488589698683,13.442821065873,10.555420301468027,13.222678270765114
14.111473642372376,14.967717754676437,13.495813232361055,10.799121894500939,13.603627437027097
14.559937418944102,14.761536266015963,13.243398552477592,10.716331003065639,13.650684585655183
14.660322948680786,14.748673987097083,13.569253453294928,10.746490443217,14.042126809294949
14.75262236328534,14.706590736481678,13.44711591213818,10.89385935152458,14.070367342837496
14.813737573577393,14.059103113478818,13.480660958771804,10.894012452087587,14.040137870969687
14.866872255347179,14.44049679318201,13.305302605347967,10.820874991696307,14.164228521177828
14.890381704510355,14.621321812304318,13.229044646132218,11.038337666271303,14.161899698248021
14.59889571712688,14.472260473759304,13.579074406361206,10.962841406398958,13.905868026253417
14.368311319939476,14.42979223265684,13.700803064303628,11.258222547014157,14.134454090852604
14.484156915606643,14.473884080106098,13.757128980424861,11.562975158995823,13.910904456873173
14.708787559550396,14.621429092163082,13.789480018610952,11.024433800001226,13.863960264447028
14.534446975753491,14.719803880101352,13.67086635620978,10.968648902001522,13.808482418324227
14.206706373388183,15.023149544676178,13.497876922776763,10.956782018008147,13.581604902103741
14.281670754968161,14.858334486840983,13.550542314424666,10.893161179804359,13.796884301265308
14.324613915121132,14.778722480692625,13.335995335253262,11.086471194452,13.924210730358219
14.43175886497069,14.800500097566328,13.338674888575472,11.223243580138703,13.717759465463782
14.315012932289223,14.93418953518063,13.56170465217163,11.158623310357799,14.128201314182661
14.472449161066786,15.199131425923838,13.401680189948632,11.245173692668688,14.45459105125121
14.404844181757102,15.285065745824724,13.40840206759895,11.50800539596927,14.334200641194313
14.29854335921888,15.716327963120973,13.602744622806464,11.342335487406157,14.17957874055341
14.484887488628598,15.66339199564298,13.471065190493995,11.688679247926874,14.454076477029341
14.559928508743901,15.79946367516836,13.575012440421235,11.5950676326604,14.66592044006555
14.621512300254906,16.30359214427686,13.705615194807832,11.506701785194844,14.561674383894779
14.58458257606552,16.662707669186716,13.870460129715331,11.669531822311367,14.382808820805026
14.453922333792997,16.65682640597847,13.801229962606394,11.559166910951738,14.357665098855874
14.366135391295769,16.311037182815877,13.792737758572768,11.502293739036025,14.178390036999483
14.579027176633613,16.37971698928104,13.709955228100322,11.853168627436627,13.979247580491988
14.352245524387774,16.30408908886578,14.052869989630947,12.083982108333489,13.869168644488802
14.600855246280062,16.251770727804693,14.490983201232975,12.094436519654957,13.904195279804604
14.529953004309968,16.57249551763398,14.371108130669377,12.013294931380434,13.847440053057257
14.675773390559339,16.388772923375264,14.23934025624325,11.616497947720248,13.67964110492468
14.657433759096804,16.219813566881225,14.337570706571078,11.780338011575145,13.785790206135822
14.832914977956827,16.189278135068783,14.300425853681325,12.130243493548743,13.744431277978654
15.139931875376776,16.74755530089318,14.355772797210372,12.02008209122979,13.782155589500624
14.899696242231228,17.020379411221874,14.384465065641201,12.087220411108213,13.9685188685147
15.138957038768192,17.326957070199914,14.357144711796197,12.103243257348433,13.717638113332972
15.482303910581678,17.46498363056291,14.383334465820068,12.422598978485567,13.683199176525562
15.976528971981564,17.339846535307757,14.415151901143233,12.866845714500185,14.067172393768633
16.289206251958902,17.410847344837038,14.369629480706132,12.856112740899944,13.67616991328456
16.45194503279961,17.443841597035746,14.743320056589429,12.983649438652867,13.699103132512665
16.316993040199982,17.356462487108544,14.910048426984552,13.385748093207148,13.444891714935176
16.326962755973476,17.268471721942728,14.557045741954516,13.498433367895707,13.561385533585728
16.15468072583604,17.085207472165784,14.444481560497273,13.325079942070225,13.96430291883709
16.316393826728696,17.15512550234117,14.31194562303773,13.515930050920732,14.0033387241634
16.633970815794434,17.011856315500896,14.582750450865955,13.551276996727344,14.376652093950364
16.733638921906234,17.087696174356633,14.780654657696553,13.399794604703025,14.425257860137624
16.861738347577564,17.878379423186995,14.408113827169439,13.3060408340116,14.236101952798316
17.052337957359377,18.057330269505975,14.336686485033301,13.591424693416043,14.402858211777088
17.470593734572777,18.03157411136314,14.596562085083237,13.62929199458688,14.163847154090305
17.367085167525186,18.19678481929755,14.822755603133542,13.453576848471567,14.267950819437818
17.09949053699034,18.637997341842567,15.169549831736234,13.630261917847811,14.32666338529689
17.428466882669362,18.531471564337217,15.591921054288626,13.85526860001575,14.300434656009214
17.57662435899502,18.845348552504323,15.600295809173607,14.373968497643414,13.907907903984317
17.72806949370335,18.610739465913372,15.51168879879499,14.05478822587849,13.605989250951895
17.949643191910326,18.569532177705124,15.879022497291595,14.121151003328121,13.81649027344927
17.899281527950333,19.120548201389525,15.975649590236033,14.321522635854407,13.858132224557803
17.8010541516055,19.001454972023875,16.0919034948967,14.78398511247457,13.577899765573227
17.768686235255757,19.26469903239256,16.089905283240128,14.507076364035854,13.67683384738258
17.626709588955364,19.46027466796223,16.1271760867311,14.445720331814243,13.84813724840957
17.5527538140551,19.8588091239019,16.39279645533511,14.486833046094434,13.822804543249202
